state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,1999,11,7,49098,69003,2188,2,52450,5931,518
AK,1999,12,9,84911,139942,2979,6,308653,9262,1763
AK,1999,13,15,208902,250451,5475,5,438652,8848,1825
AK,1999,14,86,1877231,1645084,29199,32,4068591,92343,10950
AK,1999,15,153,6705372,6440062,52309,47,12308768,352524,16420
AK,1999,16,305,26746975,30545278,108560,65,32130581,1641524,22870
AK,1999,17,320,50825390,86818104,114771,81,73576377,4931046,28167
AK,1999,18,214,63212196,115454023,75385,178,334714934,20431435,63234
AK,1999,19,69,37064219,66711369,23735,249,918482978,49831785,88357
AK,1999,20,21,24767430,40234052,7179,166,1151482820,62459994,59134
AK,1999,21,4,7973886,25594316,1460,33,430371105,22550029,11769
AK,1999,22,0,0,0,0,1,29214104,1196456,365
AK,1998,1,6,333,262,1915,20,4893,97,5282
AK,1998,2,6,2436,4040,2190,8,19195,507,2492
AK,1998,3,6,4583,6592,1976,6,34495,863,2190
AK,1998,4,6,6862,7183,1550,5,53754,0,1825
AK,1998,5,4,7707,10040,1429,4,48041,1179,1309
AK,1998,6,4,5926,2223,697,2,37231,440,730
AK,1998,7,4,9426,7521,944,2,22731,1362,455
AK,1998,8,6,16514,37490,1700,4,81714,1856,1154
AK,1998,9,9,44979,83425,3285,4,121952,2156,1246
AK,1998,10,3,13673,31139,881,6,253320,6481,2129
AK,1998,11,14,109137,98653,4561,5,239254,7980,1764
AK,1998,12,16,151945,199665,5261,11,743194,9306,3801
AK,1998,13,23,217565,256657,5715,7,563502,14733,2555
AK,1998,14,76,1680292,1812841,26036,32,4129686,113521,10982
AK,1998,15,155,6679702,6717657,52233,26,6091537,236456,8728
AK,1998,16,277,24499938,26802624,96760,66,29234705,1592508,22233
AK,1998,17,340,55058807,80862085,120364,84,70994017,3943038,26826
AK,1998,18,223,66679805,113527243,77550,172,298295139,21353968,59756
AK,1998,19,92,47244463,84777091,29314,248,879661103,52423066,87053
AK,1998,20,26,26633012,38506891,7584,188,1209141633,74250171,63252
AK,1998,21,8,18106499,34749319,2647,36,449558254,26204282,12869
AK,1998,22,0,0,0,0,2,41204582,1894880,577
AK,1997,1,12,1521,1158,4227,17,3463,124,5504
AK,1997,2,6,2413,4024,2190,3,5851,125,1003
AK,1997,3,3,1109,1744,547,5,28602,273,1521
AK,1997,4,3,4984,6391,1095,2,15029,630,730
AK,1997,5,0,0,0,0,7,104349,676,2555
AK,1997,6,3,4007,4429,545,8,113983,2842,2343
AK,1997,7,3,8708,16962,1095,1,20992,618,365
AK,1997,8,7,22019,16848,1793,2,49658,951,730
AK,1997,9,8,45510,50288,2920,6,159866,3709,1702
AK,1997,10,7,34903,26977,1795,7,283239,7321,2402
AK,1997,11,5,38471,48086,1703,3,104374,1985,761
AK,1997,12,18,174382,240156,6142,7,398454,11238,2188
AK,1997,13,15,203481,180425,5113,2,102588,12989,730
AK,1997,14,77,1767594,1796012,27651,29,3765408,71821,10342
AK,1997,15,129,5870643,5548666,45288,29,7068359,238044,9673
AK,1997,16,239,20783907,21860555,82710,51,25838862,1085894,17609
AK,1997,17,377,62255387,90789692,133928,70,63776859,3742463,23807
AK,1997,18,249,73498189,131466902,86254,150,259476217,18777973,52956
AK,1997,19,92,50715249,87622661,30560,248,876576352,54187763,87193
AK,1997,20,35,34378678,67924257,10383,160,1044681990,72679109,55730
AK,1997,21,12,30695208,39781095,4260,49,592603293,38491876,16791
AK,1997,22,0,0,0,0,2,57143620,3132443,730
AK,1996,1,14,350,488,3687,22,9927,184,6707
AK,1996,2,1,674,142,366,1,2235,143,366
AK,1996,3,4,2418,6887,1250,3,18354,427,1098
AK,1996,4,5,5843,7757,1432,2,18514,275,732
AK,1996,5,4,6417,9057,1098,3,30701,758,853
AK,1996,6,1,2260,7780,366,3,42924,1074,945
AK,1996,7,4,10749,12312,1158,3,60050,1758,1098
AK,1996,8,4,15451,4845,1129,5,113354,1891,1554
AK,1996,9,7,36778,51351,2562,4,123231,4610,1464
AK,1996,10,8,54574,63275,2928,3,142194,1768,1098
AK,1996,11,6,48734,61909,2104,7,327694,5825,2226
AK,1996,12,20,204234,262080,7107,6,373997,3011,1861
AK,1996,13,17,209408,208835,5429,5,411771,10946,1738
AK,1996,14,64,1477711,1355127,22113,31,4164308,70275,10826
AK,1996,15,130,5836758,4673777,45080,28,6122782,264956,8815
AK,1996,16,219,19056293,19672441,75617,49,25189878,854898,16958
AK,1996,17,338,56631691,78855823,118866,65,62517870,3364310,22813
AK,1996,18,301,89330218,157140348,103959,127,221674789,15946363,44067
AK,1996,19,113,57630079,119972509,37013,214,760584698,49929760,75395
AK,1996,20,39,41981749,92882650,12783,178,1156685340,82799635,62987
AK,1996,21,16,35687961,54862315,5156,46,525396098,40356021,15527
AK,1996,22,1,4334144,3417175,366,3,76070289,4583444,1098
AK,1995,1,9,708,1818,2796,13,5613,66,3737
AK,1995,2,3,978,2281,1095,7,17372,276,2312
AK,1995,3,3,2525,2124,852,2,9773,243,608
AK,1995,4,3,3281,3743,760,4,24416,30,879
AK,1995,5,6,9552,20140,2006,2,28787,771,730
AK,1995,6,5,10581,13970,1396,4,56487,1184,1095
AK,1995,7,1,2777,6521,365,5,76195,1567,1307
AK,1995,8,2,4141,3808,334,6,97843,3693,1519
AK,1995,9,2,11164,11105,730,5,158914,2846,1825
AK,1995,10,5,25850,16993,1278,5,141133,2831,1213
AK,1995,11,7,56226,68753,2463,3,132604,1832,881
AK,1995,12,20,168430,261623,6055,2,145430,2595,730
AK,1995,13,11,152980,148344,4015,6,454984,7475,1886
AK,1995,14,65,1370327,1261535,21412,26,3093904,79165,8421
AK,1995,15,106,4659601,4060247,37683,28,7195071,168504,9853
AK,1995,16,193,16921346,16942963,67764,30,15664615,269894,10338
AK,1995,17,321,55594265,75505132,113792,60,56430119,2956312,20440
AK,1995,18,326,103388753,160106042,114719,121,216332710,14284646,41964
AK,1995,19,134,68050161,146954686,43156,219,770469108,54660739,76858
AK,1995,20,29,25738544,64881184,8371,177,1134997145,90836584,61996
AK,1995,21,23,51823241,67161366,7728,47,552857400,45419154,16488
AK,1995,22,0,0,0,0,3,74110738,4957640,1095
AK,1994,1,4,277,463,1126,8,5415,163,2430
AK,1994,2,2,915,945,730,2,5569,180,730
AK,1994,3,3,2356,2002,944,3,19592,170,1095
AK,1994,4,3,2322,5781,699,4,32149,443,1032
AK,1994,5,1,184,175,31,4,38170,1437,1154
AK,1994,6,1,2962,110,365,7,94002,3564,2188
AK,1994,7,5,14110,11438,1491,2,48188,0,730
AK,1994,8,3,11405,6800,942,7,154926,3231,2188
AK,1994,9,9,36176,25723,2310,4,119535,4529,1460
AK,1994,10,2,15636,6975,730,3,141654,1286,1095
AK,1994,11,6,53056,50585,2190,2,116471,0,730
